country_name,country_code,region,income_group,year,cpi,int_rate,gdp_ growth_rate,gdp,exchange_rate,unemployment_rate
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2000,0,14.20353864,-2.314140568,20783433276.26,3486.353333,7.61
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2000,2.798198924,0,-8.555572684,7118400000.00,0,10.625
Pacific island small states,PSS,Combined,Not classified,2000,0,0,-1.520937331,6488114855.82,0,4.417581676
Post-demographic dividend,PST,Combined,Not classified,2000,2.66733721,0,4.046470549,34954908415639.00,0,6.534970847
French Polynesia,PYF,East Asia & Pacific,High income,2000,0,0,3.245411013,5407300957.95,129.201038,11.579
Qatar,QAT,Middle East & North Africa,High income,2000,0,0,8.028125452,33690629183.43,3.64,0.87
Romania,ROU,Europe & Central Asia,High income,2000,0,7.451516616,2.461216469,102548872691.52,2.170872083,6.969
Russian Federation,RUS,Europe & Central Asia,High income,2000,20.79876066,-9.633111445,10.00006681,780432873752.84,28.12916667,10.581
Rwanda,RWA,Sub-Saharan Africa,Low income,2000,0,12.78985102,8.370895935,2738155710.84,389.6962167,11.731
South Asia,SAS,Combined,Not classified,2000,2.478820207,0,4.08685651,937951354417.52,0,7.207418197
Saudi Arabia,SAU,Middle East & North Africa,High income,2000,-1.125000552,0,4.718134221,359919640768.12,3.75,4.57
Sudan,SDN,Sub-Saharan Africa,Low income,2000,7.121258972,0,6.34586744,37610270337.13,2.571225,15.608
Senegal,SEN,Sub-Saharan Africa,Lower middle income,2000,0,0,3.887210958,10450471990.97,710.207977,2.668
Singapore,SGP,East Asia & Pacific,High income,2000,0,1.896581804,9.038316326,140533304238.72,1.723963333,3.7
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2000,0,4.522841871,-14.27699959,769821323.86,5.088930833,2.45
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2000,0,22.23916055,6.652729835,3217030903.99,2.092125,4.08
El Salvador,SLV,Latin America & Caribbean,Upper middle income,2000,0,0,1.127906977,17621447036.17,8.755,6.96
San Marino,SMR,Europe & Central Asia,High income,2000,0,0,2.179379715,1495569701.93,1.082705081,0
"Somalia, Fed. Rep.",SOM,Sub-Saharan Africa,Low income,2000,0,0,7.110314311,2059706442.19,0,18.98
Serbia,SRB,Europe & Central Asia,Upper middle income,2000,0,-0.289228679,6.055092258,26625556358.90,63.1659,12.6
Sub-Saharan Africa (excluding high income),SSA,Combined,Not classified,2000,0,0,3.410986123,792900168429.37,0,6.776075592
South Sudan,SSD,Sub-Saharan Africa,Low income,2000,0,0,0,0.00,0,12.325
Sub-Saharan Africa,SSF,Combined,Not classified,2000,0,0,3.468443896,811145065354.14,0,6.435510932
Small states,SST,Combined,Not classified,2000,0,0,6.039852305,128740997082.89,0,10.43129856
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2000,0,0,0.448368262,138248376.95,7.978171667,14.4
Suriname,SUR,Latin America & Caribbean,Upper middle income,2000,0,-19.74758257,2.099998868,2921018934.53,1.322490515,12.983
Slovak Republic,SVK,Europe & Central Asia,High income,2000,12.0357806,0,0.789224478,48483456226.78,46.03516667,18.546
Slovenia,SVN,Europe & Central Asia,High income,2000,8.911744187,0,3.497919421,32113425072.02,222.6560858,6.92
Sweden,SWE,Europe & Central Asia,High income,2000,0.899143734,4.135554351,4.631116004,368734580258.81,9.162244167,5.466
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2000,0,-9.049525802,1.760173641,2382948839.14,6.939828333,24.502
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,2000,0,0,0,0.00,0,0
Seychelles,SYC,Sub-Saharan Africa,High income,2000,0,9.367775438,4.253198349,949537227.21,5.713816667,0
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,2000,0,0,0.675642589,20770487869.94,11.225,9.587
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,2000,0,0,0,0.00,1,0
Chad,TCD,Sub-Saharan Africa,Low income,2000,0,0,-0.879681025,4498574578.40,710.207977,0.79
East Asia & Pacific (IDA & IBRD countries),TEA,Combined,Not classified,2000,0,0,7.727841165,3874275423946.32,0,3.42896287
Europe & Central Asia (IDA & IBRD countries),TEC,Combined,Not classified,2000,0,0,7.36998831,1942213678414.86,0,11.02520368
Togo,TGO,Sub-Saharan Africa,Low income,2000,1.862605955,0,-0.78347961,3492826652.72,710.207977,4.174
Thailand,THA,East Asia & Pacific,Upper middle income,2000,0,6.416871607,4.455247043,221454615181.94,40.11180333,2.389
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2000,0,0,8.324324495,2699528109.30,2.07625,4.15
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2000,0,0,5.469064133,10334005228.00,5200,11.666
Latin America & the Caribbean (IDA & IBRD countries),TLA,Combined,Not classified,2000,0,0,3.593260803,3409213848297.05,0,9.547243868
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2000,0,0,58.07809593,832683747.64,1,3.477
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Combined,Not classified,2000,0,0,5.860393961,1067705596362.05,0,8.717956603
Tonga,TON,East Asia & Pacific,Upper middle income,2000,0,0,3.75409745,397019709.50,1.758502604,4.12
South Asia (IDA & IBRD),TSA,Combined,Not classified,2000,2.478820207,0,4.08685651,937951354417.52,0,7.207418197
Sub-Saharan Africa (IDA & IBRD countries),TSS,Combined,Not classified,2000,0,0,3.468443896,811145065354.14,0,6.435510932
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2000,0,3.977794996,6.901359591,13249188352.30,6.299796667,12.1
